               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.066729,            0.039525,             0.01233,              0.5277,             0.70074,             0.53751,             0.16635,            0.062518,             0.02798,           0.0092795,           0.0014035,           0.0014035,            0.086703
                  37,            0.066122,            0.036595,            0.010422,             0.59203,              0.6075,             0.57958,             0.20189,            0.064475,            0.027234,           0.0086788,           0.0014379,           0.0014379,            0.086338
                  38,            0.069041,            0.037077,            0.010159,             0.37023,              0.6412,             0.42443,             0.12061,            0.062984,             0.02698,           0.0083473,            0.001472,            0.001472,            0.085972
                  39,            0.069422,             0.03461,           0.0093101,             0.54907,             0.73232,             0.62702,             0.19072,            0.063975,             0.02601,           0.0079948,           0.0015058,           0.0015058,            0.085606
                  40,            0.061574,            0.040103,           0.0097565,             0.66106,             0.73577,             0.74122,             0.28574,            0.056239,            0.026426,           0.0076172,           0.0015393,           0.0015393,            0.085239
                  41,            0.062495,            0.036494,           0.0086388,             0.54758,             0.69304,             0.62997,              0.1848,            0.059969,            0.025968,           0.0071947,           0.0015724,           0.0015724,            0.084872
                  42,            0.066407,             0.03282,           0.0099551,             0.27582,             0.64043,             0.27745,            0.072511,            0.090442,            0.023676,           0.0070177,           0.0016053,           0.0016053,            0.084505
                  43,            0.088258,            0.027396,           0.0080864,             0.44336,              0.6931,             0.50577,             0.14355,            0.085888,             0.02282,           0.0067284,           0.0016378,           0.0016378,            0.084138
                  44,            0.083896,            0.032485,           0.0086665,             0.48064,             0.68364,             0.56217,             0.14752,            0.079123,             0.02358,           0.0065785,             0.00167,             0.00167,             0.08377
                  45,            0.074981,             0.03401,           0.0073453,             0.44719,             0.57861,             0.50151,             0.12849,            0.078763,            0.023703,            0.006453,           0.0017018,           0.0017018,            0.083402
                  46,            0.070696,            0.032157,           0.0090197,               0.484,             0.69578,             0.58057,             0.17159,            0.068049,            0.025092,           0.0062731,           0.0017333,           0.0017333,            0.083033
                  47,             0.06946,             0.03839,           0.0079131,             0.24365,             0.60536,             0.29316,            0.067117,            0.072522,            0.024594,           0.0059309,           0.0017644,           0.0017644,            0.082664
                  48,             0.06805,              0.0279,           0.0065228,             0.31144,             0.71087,             0.40766,              0.1007,            0.069862,            0.024027,           0.0056002,           0.0017951,           0.0017951,            0.082295
                  49,            0.074798,            0.026326,           0.0059951,             0.46897,             0.61483,             0.47723,             0.12451,            0.072518,            0.022837,           0.0053451,           0.0018255,           0.0018255,            0.081926
                  50,            0.072657,            0.033142,           0.0069001,             0.58946,             0.70637,             0.63899,             0.19352,             0.07405,            0.022757,           0.0052058,           0.0018555,           0.0018555,            0.081556
                  51,            0.073822,            0.031623,           0.0086702,             0.50037,              0.7099,             0.60632,             0.20346,            0.068766,            0.023012,           0.0050658,           0.0018852,           0.0018852,            0.081185
                  52,            0.073984,            0.030038,           0.0084212,             0.43014,             0.55428,              0.4503,             0.14014,            0.079013,            0.022186,           0.0049431,           0.0019144,           0.0019144,            0.080814
                  53,            0.073928,            0.026458,           0.0068134,             0.46752,             0.67422,             0.56665,              0.1717,               0.073,            0.022437,           0.0049439,           0.0019432,           0.0019432,            0.080443
